"Segment","SegmentURL", "Product", "ProductURL"
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-1122,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-1122
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-1130,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-1130
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-1160,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-1160
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-1170,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-1170
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-151NT,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-151NT
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-1524,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-1524
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-171,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-171
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-186,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-186
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-187,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-187
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-1871,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-1871
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-189,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-189
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-2120,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-2120
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-Link* 15,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-Link*+15
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-Link* 25 and Silquest A-Link 35,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-Link*+25+and+Silquest+A-Link+35
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-Link* 597,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-Link*+597
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* A-Link* 599,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+A-Link*+599
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* VX-225,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+VX-225
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* Wetlink 78,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+Wetlink+78
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* Y-11699,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+Y-11699
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* Y-15744,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+Y-15744
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,Silquest* Y-9669,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silquest*+Y-9669
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,SPUR+* 1015LM,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SPUR%2b*+1015LM
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,SPUR+* 1050MM,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SPUR%2b*+1050MM
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TIA0220,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TIA0220
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TIA118G,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TIA118G
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TIG1000,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TIG1000
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TIG2000,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TIG2000
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TIG830SP,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TIG830SP
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TIS380C,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TIS380C
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3051,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3051
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3053,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3053
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3062,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3062
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3065,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3065
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3070,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3070
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3080,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3080
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3081,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3081
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3225,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3225
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3250,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3250
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3251,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3251
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3252,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3252
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3253,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3253
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3282,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3282-G
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3360,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3360
